"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","Count"
"GO:0007156","homophilic cell adhesion via plasma membrane adhesion molecules","78/4843","168/18860",4.60070455430855e-09,1.20270084890549e-06,9.60699753643115e-07,78
"GO:0051899","membrane depolarization","53/4843","100/18860",4.82771544597404e-09,1.21156346832165e-06,9.67779083717154e-07,53
"GO:0007088","regulation of mitotic nuclear division","60/4843","119/18860",5.95865167599814e-09,1.38297360283486e-06,1.10469897875892e-06,60
"GO:0098739","import across plasma membrane","95/4843","218/18860",6.16227576835635e-09,1.38297360283486e-06,1.10469897875892e-06,95
"GO:0014706","striated muscle tissue development","164/4843","430/18860",6.17202117937139e-09,1.38297360283486e-06,1.10469897875892e-06,164
"GO:0060537","muscle tissue development","171/4843","453/18860",7.04119621276311e-09,1.52332638065089e-06,1.21681071393703e-06,171
"GO:0006936","muscle contraction","145/4843","372/18860",9.12510188125374e-09,1.90836297343287e-06,1.52437228268944e-06,145
"GO:0071466","cellular response to xenobiotic stimulus","89/4843","202/18860",9.66502520052882e-09,1.95607639058445e-06,1.56248505873405e-06,89
"GO:0071805","potassium ion transmembrane transport","91/4843","208/18860",1.00952473635722e-08,1.97929943622038e-06,1.58103528611735e-06,91
"GO:0048704","embryonic skeletal system morphogenesis","50/4843","94/18860",1.11416002611589e-08,2.11825454662154e-06,1.69203058511571e-06,50
"GO:0071459","protein localization to chromosome, centromeric region","28/4843","41/18860",1.23667335781245e-08,2.22520065535164e-06,1.77745756423824e-06,28
"GO:0006821","chloride transport","63/4843","129/18860",1.24134559989333e-08,2.22520065535164e-06,1.77745756423824e-06,63
"GO:0061844","antimicrobial humoral immune response mediated by antimicrobial peptide","65/4843","135/18860",1.49259804121578e-08,2.6012666973855e-06,2.07785358895565e-06,65
"GO:0031589","cell-substrate adhesion","143/4843","369/18860",1.77624424964394e-08,3.01193416818002e-06,2.40588872618913e-06,143
"GO:0006813","potassium ion transport","101/4843","240/18860",1.90383337368918e-08,3.14332910171735e-06,2.51084506707319e-06,101
"GO:0043269","regulation of monoatomic ion transport","168/4843","449/18860",1.9565978985016e-08,3.14761415774334e-06,2.51426790681946e-06,168
"GO:0007409","axonogenesis","175/4843","472/18860",2.12545497089069e-08,3.33377612184205e-06,2.66297134642384e-06,175
"GO:0043270","positive regulation of monoatomic ion transport","85/4843","194/18860",2.81150554336204e-08,4.30228921440328e-06,3.43660536378605e-06,85
"GO:0061644","protein localization to CENP-A containing chromatin","16/4843","18/18860",3.0929715096775e-08,4.56312992807998e-06,3.64496109048014e-06,16
"GO:0015698","inorganic anion transport","78/4843","174/18860",3.12742408204398e-08,4.56312992807998e-06,3.64496109048014e-06,78
"GO:0003012","muscle system process","178/4843","485/18860",3.73389442228698e-08,5.32419400123376e-06,4.25288788146132e-06,178
"GO:0045165","cell fate commitment","121/4843","304/18860",3.85807581640486e-08,5.37901503824979e-06,4.29667811974351e-06,121
"GO:0006814","sodium ion transport","105/4843","255/18860",3.94508729188586e-08,5.38075601506346e-06,4.29806878642302e-06,105
"GO:0051216","cartilage development","92/4843","216/18860",4.05516063683961e-08,5.41320805011313e-06,4.32399099484734e-06,92
"GO:0060078","regulation of postsynaptic membrane potential","70/4843","152/18860",4.18849414828953e-08,5.47471089299345e-06,4.37311856140493e-06,70
"GO:0048705","skeletal system morphogenesis","97/4843","232/18860",5.29325105045578e-08,6.77752185521624e-06,5.41378480155102e-06,97
"GO:0001508","action potential","79/4843","179/18860",5.85550154535237e-08,7.34748333910816e-06,5.86906165419424e-06,79
"GO:0002449","lymphocyte mediated immunity","147/4843","388/18860",6.06768311178991e-08,7.46443996928822e-06,5.96248489065671e-06,147
"GO:0003002","regionalization","163/4843","440/18860",6.85251781308988e-08,8.26782629987036e-06,6.60421807856699e-06,163
"GO:0050673","epithelial cell proliferation","180/4843","496/18860",7.8322891951701e-08,9.27165705858438e-06,7.40606332834257e-06,180
"GO:0042445","hormone metabolic process","101/4843","246/18860",8.4307526082697e-08,9.79528553042298e-06,7.82433005223627e-06,101
"GO:1900047","negative regulation of hemostasis","32/4843","53/18860",9.7179736872511e-08,1.10855576206933e-05,8.8549804258378e-06,32
"GO:0007188","adenylate cyclase-modulating G protein-coupled receptor signaling pathway","112/4843","281/18860",1.11935886691707e-07,1.25408170197102e-05,1.00174202356996e-05,112
"GO:0009410","response to xenobiotic stimulus","163/4843","443/18860",1.1470532916776e-07,1.26256357052373e-05,1.00851721545282e-05,163
"GO:0042060","wound healing","166/4843","453/18860",1.20025230532425e-07,1.28555922915062e-05,1.02688580943679e-05,166
"GO:0090596","sensory organ morphogenesis","118/4843","300/18860",1.20892563786877e-07,1.28555922915062e-05,1.02688580943679e-05,118
"GO:0007548","sex differentiation","117/4843","297/18860",1.23924288497791e-07,1.29583497672523e-05,1.03509392550523e-05,117
"GO:0022600","digestive system process","56/4843","116/18860",1.29402454117092e-07,1.33093606086989e-05,1.06313215539512e-05,56
"GO:0051783","regulation of nuclear division","67/4843","147/18860",1.32054290065751e-07,1.33630421914923e-05,1.06742016129549e-05,67
"GO:0021953","central nervous system neuron differentiation","100/4843","245/18860",1.37079623941343e-07,1.36513898509204e-05,1.09045294834542e-05,100
"GO:0002443","leukocyte mediated immunity","176/4843","488/18860",1.76758011238768e-07,1.73278087892505e-05,1.38411988734831e-05,176
"GO:0051784","negative regulation of nuclear division","36/4843","64/18860",1.95154808398256e-07,1.88369425829332e-05,1.50466727576372e-05,36
"GO:0072001","renal system development","128/4843","334/18860",2.03490511600062e-07,1.93439313602847e-05,1.54516479382439e-05,128
"GO:0007204","positive regulation of cytosolic calcium ion concentration","73/4843","166/18860",2.18160553147969e-07,2.01285192713287e-05,1.60783652250384e-05,73
"GO:0048754","branching morphogenesis of an epithelial tube","73/4843","166/18860",2.18160553147969e-07,2.01285192713287e-05,1.60783652250384e-05,73
"GO:0001708","cell fate specification","54/4843","112/18860",2.27147481072489e-07,2.04350820373468e-05,1.63232430548476e-05,54
"GO:0006820","monoatomic anion transport","76/4843","175/18860",2.310673875781e-07,2.04350820373468e-05,1.63232430548476e-05,76
"GO:0030195","negative regulation of blood coagulation","31/4843","52/18860",2.31254514608164e-07,2.04350820373468e-05,1.63232430548476e-05,31
"GO:0002460","adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","149/4843","402/18860",2.38644986985586e-07,2.05103924431173e-05,1.63833998996161e-05,149
"GO:0008544","epidermis development","149/4843","402/18860",2.38644986985586e-07,2.05103924431173e-05,1.63833998996161e-05,149
"GO:0048736","appendage development","83/4843","196/18860",2.46392598587567e-07,2.06115621805119e-05,1.64642127982513e-05,83
"GO:0060173","limb development","83/4843","196/18860",2.46392598587567e-07,2.06115621805119e-05,1.64642127982513e-05,83
"GO:0045839","negative regulation of mitotic nuclear division","33/4843","57/18860",2.4978573144807e-07,2.06204694619104e-05,1.64713278036601e-05,33
"GO:0045109","intermediate filament organization","40/4843","75/18860",2.90488331496085e-07,2.36691401533303e-05,1.8906561124441e-05,40
"GO:0002065","columnar/cuboidal epithelial cell differentiation","54/4843","113/18860",3.26975333565843e-07,2.63005543947705e-05,2.10084961282993e-05,54
"GO:0098661","inorganic anion transmembrane transport","61/4843","133/18860",3.61252149157043e-07,2.86898225798897e-05,2.29170084228738e-05,61
"GO:0071695","anatomical structure maturation","112/4843","287/18860",4.00520389896613e-07,3.13818714078886e-05,2.50673774429069e-05,112
"GO:0015718","monocarboxylic acid transport","77/4843","180/18860",4.05153264908986e-07,3.13818714078886e-05,2.50673774429069e-05,77
"GO:0021537","telencephalon development","113/4843","291/18860",4.77704440440306e-07,3.65502153575912e-05,2.91957745948176e-05,113
"GO:0001822","kidney development","123/4843","323/18860",5.17568274864925e-07,3.83915251718181e-05,3.06665857998802e-05,123
"GO:0061458","reproductive system development","123/4843","323/18860",5.17568274864925e-07,3.83915251718181e-05,3.06665857998802e-05,123
"GO:0046661","male sex differentiation","76/4843","178/18860",5.25974051898863e-07,3.83915251718181e-05,3.06665857998802e-05,76
"GO:0048568","embryonic organ development","169/4843","472/18860",5.26246599422435e-07,3.83915251718181e-05,3.06665857998802e-05,169
"GO:0051960","regulation of nervous system development","167/4843","466/18860",5.75272648790354e-07,4.14857540058699e-05,3.31382102951104e-05,167
"GO:0000280","nuclear division","163/4843","453/18860",5.87452770841059e-07,4.18827123211001e-05,3.34552947604579e-05,163
"GO:0010810","regulation of cell-substrate adhesion","93/4843","230/18860",6.0997975546662e-07,4.30001459078379e-05,3.43478842788478e-05,93
"GO:0048608","reproductive structure development","121/4843","318/18860",6.69576303341205e-07,4.66769080795858e-05,3.72848278386839e-05,121
"GO:0006805","xenobiotic metabolic process","61/4843","135/18860",6.82772021123241e-07,4.70737545112881e-05,3.76018229331145e-05,61
"GO:1900046","regulation of hemostasis","38/4843","72/18860",8.10851441928335e-07,5.52965428984606e-05,4.4170065389254e-05,38
"GO:0007599","hemostasis","99/4843","250/18860",8.46085832489169e-07,5.61526708494767e-05,4.48539278080564e-05,99
"GO:0001894","tissue homeostasis","107/4843","275/18860",8.50255615349105e-07,5.61526708494767e-05,4.48539278080564e-05,107
"GO:0060249","anatomical structure homeostasis","107/4843","275/18860",8.50255615349105e-07,5.61526708494767e-05,4.48539278080564e-05,107
"GO:0007218","neuropeptide signaling pathway","53/4843","113/18860",8.74831560624139e-07,5.65844660964521e-05,4.51988395022412e-05,53
"GO:1902476","chloride transmembrane transport","53/4843","113/18860",8.74831560624139e-07,5.65844660964521e-05,4.51988395022412e-05,53
"GO:0045137","development of primary sexual characteristics","98/4843","248/18860",1.07329138221545e-06,6.81058608847681e-05,5.44019602490447e-05,98
"GO:0030193","regulation of blood coagulation","37/4843","70/18860",1.07467010321837e-06,6.81058608847681e-05,5.44019602490447e-05,37
"GO:0035107","appendage morphogenesis","68/4843","157/18860",1.09709139178517e-06,6.81500137827741e-05,5.44372289347495e-05,68
"GO:0035108","limb morphogenesis","68/4843","157/18860",1.09709139178517e-06,6.81500137827741e-05,5.44372289347495e-05,68
"GO:0030574","collagen catabolic process","27/4843","45/18860",1.16201573479688e-06,7.14753600011338e-05,5.70934665982246e-05,27
"GO:0001764","neuron migration","81/4843","197/18860",1.43996216518581e-06,8.77118701395705e-05,7.00629521558471e-05,81
"GO:0030326","embryonic limb morphogenesis","58/4843","129/18860",1.54888897162465e-06,9.16766925280476e-05,7.32299939811812e-05,58
"GO:0035113","embryonic appendage morphogenesis","58/4843","129/18860",1.54888897162465e-06,9.16766925280476e-05,7.32299939811812e-05,58
"GO:0046683","response to organophosphorus","58/4843","129/18860",1.54888897162465e-06,9.16766925280476e-05,7.32299939811812e-05,58
"GO:0043588","skin development","123/4843","329/18860",1.56895976399363e-06,9.19967622364118e-05,7.34856609579311e-05,123
"GO:0003073","regulation of systemic arterial blood pressure","52/4843","112/18860",1.62339728236971e-06,9.26287776386354e-05,7.39905055680995e-05,52
"GO:0007094","mitotic spindle assembly checkpoint signaling","28/4843","48/18860",1.63879412143585e-06,9.26287776386354e-05,7.39905055680995e-05,28
"GO:0071173","spindle assembly checkpoint signaling","28/4843","48/18860",1.63879412143585e-06,9.26287776386354e-05,7.39905055680995e-05,28
"GO:0071174","mitotic spindle checkpoint signaling","28/4843","48/18860",1.63879412143585e-06,9.26287776386354e-05,7.39905055680995e-05,28
"GO:0051962","positive regulation of nervous system development","111/4843","291/18860",1.65806584293728e-06,9.28812955231117e-05,7.41922131412068e-05,111
"GO:0061448","connective tissue development","116/4843","307/18860",1.68719560658681e-06,9.3676683501997e-05,7.48275573633891e-05,116
"GO:0061101","neuroendocrine cell differentiation","15/4843","19/18860",1.77340182582656e-06,9.75993250459284e-05,7.79609057503255e-05,15
"GO:0007631","feeding behavior","50/4843","107/18860",2.02127500532544e-06,0.000110273733768798,8.80850370741824e-05,50
"GO:0001763","morphogenesis of a branching structure","86/4843","214/18860",2.13969351571107e-06,0.000115727906185959,9.24417498030889e-05,86
"GO:0050819","negative regulation of coagulation","31/4843","56/18860",2.17445359834146e-06,0.000116602751076875,9.314056303827e-05,31
"GO:0061045","negative regulation of wound healing","39/4843","77/18860",2.26692572174194e-06,0.000119789043252292,9.56857263768876e-05,39
"GO:0061041","regulation of wound healing","61/4843","139/18860",2.27205867819936e-06,0.000119789043252292,9.56857263768876e-05,61
"GO:0015849","organic acid transport","131/4843","357/18860",2.29525463457903e-06,0.000120003563144573,9.58570817125504e-05,131
"GO:0061138","morphogenesis of a branching epithelium","81/4843","199/18860",2.31555677700395e-06,0.000120064489412585,9.59057487195806e-05,81
"GO:0098656","monoatomic anion transmembrane transport","65/4843","151/18860",2.42208559745146e-06,0.000124558729823037,9.94956818763279e-05,65
"GO:0051965","positive regulation of synapse assembly","37/4843","72/18860",2.62133983039452e-06,0.000133709643056059,0.000106805296812224,37
"GO:0007596","blood coagulation","95/4843","243/18860",2.68770574019637e-06,0.000134901326511936,0.000107757196034315,95
"GO:0008406","gonad development","95/4843","243/18860",2.68770574019637e-06,0.000134901326511936,0.000107757196034315,95
"GO:0034767","positive regulation of monoatomic ion transmembrane transport","58/4843","131/18860",2.8352329336445e-06,0.000141176598616552,0.000112769791120146,58
"GO:0021536","diencephalon development","41/4843","83/18860",2.8775777095193e-06,0.000141557021901382,0.00011307366764634,41
"GO:0031577","spindle checkpoint signaling","28/4843","49/18860",2.88799789661729e-06,0.000141557021901382,0.00011307366764634,28
"GO:0045103","intermediate filament-based process","46/4843","97/18860",3.09523334980188e-06,0.000150538713462457,0.000120248110798913,46
"GO:0014074","response to purine-containing compound","64/4843","149/18860",3.15128099923471e-06,0.000151692896738344,0.000121170055428628,64
"GO:1903034","regulation of response to wounding","74/4843","179/18860",3.16732060451435e-06,0.000151692896738344,0.000121170055428628,74
"GO:0046942","carboxylic acid transport","130/4843","356/18860",3.34079643041499e-06,0.000158789066700179,0.000126838371652359,130
"GO:1901654","response to ketone","91/4843","232/18860",3.67645067363105e-06,0.000173428958844821,0.000138532502233141,91
"GO:0007517","muscle organ development","135/4843","373/18860",3.745518839269e-06,0.000174550443644975,0.000139428327801239,135
"GO:1990573","potassium ion import across plasma membrane","29/4843","52/18860",3.76897289748892e-06,0.000174550443644975,0.000139428327801239,29
"GO:0060485","mesenchyme development","127/4843","347/18860",3.78368829067845e-06,0.000174550443644975,0.000139428327801239,127
"GO:0006956","complement activation","34/4843","65/18860",3.95775704248487e-06,0.000181247939303285,0.000144778188853404,34
"GO:0003018","vascular process in circulatory system","107/4843","283/18860",4.04819839861372e-06,0.000184046353281902,0.000147013520791761,107
"GO:0015711","organic anion transport","163/4843","466/18860",4.08901278907964e-06,0.000184564505314285,0.000147427413016343,163
"GO:1903035","negative regulation of response to wounding","47/4843","101/18860",4.66962487363363e-06,0.000209265903265553,0.000167158526491502,47
"GO:0009952","anterior/posterior pattern specification","88/4843","224/18860",4.89659554543387e-06,0.000214533295674775,0.000171366042096473,88
"GO:0033046","negative regulation of sister chromatid segregation","28/4843","50/18860",4.95813322805904e-06,0.000214533295674775,0.000171366042096473,28
"GO:0033048","negative regulation of mitotic sister chromatid segregation","28/4843","50/18860",4.95813322805904e-06,0.000214533295674775,0.000171366042096473,28
"GO:0045841","negative regulation of mitotic metaphase/anaphase transition","28/4843","50/18860",4.95813322805904e-06,0.000214533295674775,0.000171366042096473,28
"GO:2000816","negative regulation of mitotic sister chromatid separation","28/4843","50/18860",4.95813322805904e-06,0.000214533295674775,0.000171366042096473,28
"GO:0008584","male gonad development","65/4843","154/18860",5.39959062679701e-06,0.000230631294655708,0.000184224886978143,65
"GO:0072593","reactive oxygen species metabolic process","92/4843","237/18860",5.40369785055611e-06,0.000230631294655708,0.000184224886978143,92
"GO:0050890","cognition","122/4843","333/18860",5.49668758812753e-06,0.000233014985999406,0.000186128944573792,122
"GO:0008217","regulation of blood pressure","81/4843","203/18860",5.75124201766127e-06,0.000242169747777227,0.000193441633670684,81
"GO:0045104","intermediate filament cytoskeleton organization","45/4843","96/18860",5.81040763398601e-06,0.000243029983304188,0.000194128777160754,45
"GO:0032963","collagen metabolic process","52/4843","116/18860",5.85364919414515e-06,0.000243217185722296,0.000194278311699722,52
"GO:0006816","calcium ion transport","154/4843","439/18860",6.22424103093362e-06,0.000256913738342616,0.0002052189165393,154
"GO:1904064","positive regulation of cation transmembrane transport","55/4843","125/18860",6.36439117229945e-06,0.000260981635392201,0.000208468292888323,55
"GO:0051928","positive regulation of calcium ion transport","47/4843","102/18860",6.51777890961455e-06,0.000265536005707284,0.000212106256928741,47
"GO:0051047","positive regulation of secretion","121/4843","331/18860",6.76997285431466e-06,0.000274031030244969,0.000218891957618962,121
"GO:0050886","endocrine process","48/4843","105/18860",6.84316709480585e-06,0.000275218143287256,0.00021984020606188,48
"GO:0010965","regulation of mitotic sister chromatid separation","32/4843","61/18860",6.98301211906983e-06,0.000277473904595737,0.000221642075026476,32
"GO:0046546","development of primary male sexual characteristics","65/4843","155/18860",6.9877075113367e-06,0.000277473904595737,0.000221642075026476,65
"GO:0050817","coagulation","95/4843","248/18860",7.33871509699753e-06,0.000289579235965802,0.000231311635728601,95
"GO:0048732","gland development","158/4843","454/18860",7.87947668166394e-06,0.000308973979379747,0.000246803871588171,158
"GO:0048738","cardiac muscle tissue development","97/4843","255/18860",8.32859823572657e-06,0.000324556679074214,0.000259251102976752,97
"GO:0007043","cell-cell junction assembly","67/4843","162/18860",8.89781867396117e-06,0.000340006450162814,0.000271592152949542,67
"GO:0035270","endocrine system development","59/4843","138/18860",8.93280403200886e-06,0.000340006450162814,0.000271592152949542,59
"GO:0030277","maintenance of gastrointestinal epithelium","18/4843","27/18860",8.94183364310875e-06,0.000340006450162814,0.000271592152949542,18
"GO:0042730","fibrinolysis","18/4843","27/18860",8.94183364310875e-06,0.000340006450162814,0.000271592152949542,18
"GO:0001823","mesonephros development","47/4843","103/18860",9.0233770147443e-06,0.000341040165003047,0.000272417869164221,47
"GO:1903046","meiotic cell cycle process","88/4843","227/18860",9.09516325780183e-06,0.000341694935805082,0.000272940890453164,88
"GO:0051256","mitotic spindle midzone assembly","10/4843","11/18860",1.04439936907407e-05,0.000387725540921346,0.000309709460987958,10
"GO:0060732","positive regulation of inositol phosphate biosynthetic process","10/4843","11/18860",1.04439936907407e-05,0.000387725540921346,0.000309709460987958,10
"GO:0009612","response to mechanical stimulus","88/4843","228/18860",1.1118687392905e-05,0.000410344968841682,0.000327777527415608,88
"GO:1903522","regulation of blood circulation","104/4843","279/18860",1.12384892036e-05,0.000411292657442282,0.000328534527134994,104
"GO:0140013","meiotic nuclear division","80/4843","203/18860",1.127547610457e-05,0.000411292657442282,0.000328534527134994,80
"GO:0010959","regulation of metal ion transport","134/4843","377/18860",1.16295926544181e-05,0.000420745012011798,0.0003360849289781,134
"GO:0072073","kidney epithelium development","63/4843","151/18860",1.16687331989246e-05,0.000420745012011798,0.0003360849289781,63
"GO:2000027","regulation of animal organ morphogenesis","40/4843","84/18860",1.17665147301963e-05,0.000421846362384295,0.000336964671461441,40
"GO:0033047","regulation of mitotic sister chromatid segregation","30/4843","57/18860",1.2330510772401e-05,0.000439554685147975,0.000351109819302638,30
"GO:0050818","regulation of coagulation","37/4843","76/18860",1.32025125356799e-05,0.000467980585586755,0.000373816010599893,37
"GO:1902100","negative regulation of metaphase/anaphase transition of cell cycle","28/4843","52/18860",1.36001478105718e-05,0.000476688979684511,0.00038077214775732,28
"GO:1905819","negative regulation of chromosome separation","28/4843","52/18860",1.36001478105718e-05,0.000476688979684511,0.00038077214775732,28
"GO:0042698","ovulation cycle","34/4843","68/18860",1.42281197490209e-05,0.00049534027305442,0.000395670526653372,34
"GO:0070374","positive regulation of ERK1 and ERK2 cascade","79/4843","201/18860",1.42901800163931e-05,0.00049534027305442,0.000395670526653372,79
"GO:0060563","neuroepithelial cell differentiation","26/4843","47/18860",1.44933832461114e-05,0.000497088373509824,0.000397066883593154,26
"GO:0010919","regulation of inositol phosphate biosynthetic process","11/4843","13/18860",1.44990711431779e-05,0.000497088373509824,0.000397066883593154,11
"GO:0030902","hindbrain development","67/4843","165/18860",1.82489248534276e-05,0.000622248665926112,0.000497043084823619,67
"GO:0003341","cilium movement","100/4843","269/18860",1.86792381680467e-05,0.000631607421392024,0.000504518721079044,100
"GO:0016101","diterpenoid metabolic process","42/4843","91/18860",1.88481839276021e-05,0.000631607421392024,0.000504518721079044,42
"GO:1901890","positive regulation of cell junction assembly","52/4843","120/18860",1.89164405718576e-05,0.000631607421392024,0.000504518721079044,52
"GO:0051146","striated muscle cell differentiation","116/4843","321/18860",1.8926075107061e-05,0.000631607421392024,0.000504518721079044,116
"GO:0008016","regulation of heart contraction","86/4843","225/18860",2.13573651409157e-05,0.000708974121132832,0.000566318103235309,86
"GO:0051985","negative regulation of chromosome segregation","28/4843","53/18860",2.17921802555858e-05,0.000719600731176555,0.000574806483085009,28
"GO:0009636","response to toxic substance","100/4843","270/18860",2.22636735677717e-05,0.000731320879393715,0.000584168365148311,100
"GO:0060538","skeletal muscle organ development","77/4843","197/18860",2.28947664475359e-05,0.000748134191103335,0.000597598591319729,77
"GO:0035115","embryonic forelimb morphogenesis","20/4843","33/18860",2.33116386186344e-05,0.000757809433644104,0.000605327032796936,20
"GO:0019755","one-carbon compound transport","17/4843","26/18860",2.35011426356287e-05,0.000760031798432654,0.000607102225112471,17
"GO:0034764","positive regulation of transmembrane transport","75/4843","191/18860",2.41278412907103e-05,0.000776297826963674,0.000620095289528053,75
"GO:0061982","meiosis I cell cycle process","59/4843","142/18860",2.52273457241407e-05,0.000803553627905943,0.000641866822552588,59
"GO:0051306","mitotic sister chromatid separation","32/4843","64/18860",2.52311228398901e-05,0.000803553627905943,0.000641866822552588,32
"GO:0030239","myofibril assembly","36/4843","75/18860",2.54638854789678e-05,0.000806870795429515,0.000644516527194927,36
"GO:0007187","G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger","29/4843","56/18860",2.56879095149864e-05,0.000809879117070475,0.000646919530287491,29
"GO:1903532","positive regulation of secretion by cell","112/4843","310/18860",2.64008779366875e-05,0.000828195540873886,0.000661550420297732,112
"GO:0007416","synapse assembly","104/4843","284/18860",2.66814081209921e-05,0.000832831614682112,0.000665253647887109,104
"GO:0048663","neuron fate commitment","37/4843","78/18860",2.749605009713e-05,0.000854010981729672,0.000682171414864179,37
"GO:0001657","ureteric bud development","44/4843","98/18860",2.8262545821983e-05,0.000873493657572027,0.000697733889854608,44
"GO:0060047","heart contraction","98/4843","265/18860",2.86719394437737e-05,0.000873525916631295,0.000697759657916815,98
"GO:0015669","gas transport","16/4843","24/18860",2.86812781042472e-05,0.000873525916631295,0.000697759657916815,16
"GO:0098801","regulation of renal system process","16/4843","24/18860",2.86812781042472e-05,0.000873525916631295,0.000697759657916815,16
"GO:0003007","heart morphogenesis","102/4843","278/18860",2.8966163252427e-05,0.000877940619544575,0.000701286057690338,102
"GO:0099505","regulation of presynaptic membrane potential","19/4843","31/18860",2.98731702645843e-05,0.000899931177146148,0.000718851791754242,19
"GO:0021510","spinal cord development","46/4843","104/18860",2.99785808134436e-05,0.000899931177146148,0.000718851791754242,46
"GO:0003015","heart process","101/4843","275/18860",3.01738125886715e-05,0.000901478572292024,0.000720087828243935,101
"GO:0006941","striated muscle contraction","80/4843","208/18860",3.14689685116244e-05,0.000935717101620528,0.000747437062029651,80
"GO:0021700","developmental maturation","128/4843","364/18860",3.20414603011802e-05,0.000947441202110746,0.000756802101110559,128
"GO:0031214","biomineral tissue development","72/4843","183/18860",3.21652814870241e-05,0.000947441202110746,0.000756802101110559,72
"GO:0042692","muscle cell differentiation","151/4843","441/18860",3.23493774506987e-05,0.000947777065293811,0.000757070383682673,151
"GO:0002062","chondrocyte differentiation","51/4843","119/18860",3.25110789738931e-05,0.000947777065293811,0.000757070383682673,51
"GO:0098773","skin epidermis development","57/4843","137/18860",3.27432281396253e-05,0.000947777065293811,0.000757070383682673,57
"GO:0003206","cardiac chamber morphogenesis","56/4843","134/18860",3.28796126216699e-05,0.000947777065293811,0.000757070383682673,56
"GO:0001523","retinoid metabolic process","40/4843","87/18860",3.29320051377193e-05,0.000947777065293811,0.000757070383682673,40
"GO:0034765","regulation of monoatomic ion transmembrane transport","114/4843","318/18860",3.31694005331966e-05,0.00095025031481861,0.000759045979036525,114
"GO:0048592","eye morphogenesis","70/4843","177/18860",3.37641387500801e-05,0.000962891847809101,0.000769143849708761,70
"GO:0003310","pancreatic A cell differentiation","9/4843","10/18860",3.71363779196679e-05,0.00105426984193663,0.000842135247799661,9
"GO:0072163","mesonephric epithelium development","44/4843","99/18860",3.83254284568037e-05,0.00107826788402684,0.000861304530955121,44
"GO:0072164","mesonephric tubule development","44/4843","99/18860",3.83254284568037e-05,0.00107826788402684,0.000861304530955121,44
